submission_id,group_id,additionalInfo,created_at,updated_at,text1_kappa,text2_kappa,text3_kappa,text4_kappa,text5_kappa,text1_ai,text2_ai,text3_ai,text4_ai,text5_ai
23,2,,,,64.28571429,,64.28571429,16.66666667,37.5,4,3,4,2,4
31,2,,,,77.27272727,31.81818182,42.30769231,100.0,77.27272727,1,2,3,1,1
32,2,,,,28.57142857,77.27272727,80.76923077,28.57142857,77.27272727,3,1,3,3,1
34,2,,,,,100.0,55.88235294,42.30769231,42.30769231,2,1,4,3,3
36,2,,,,77.27272727,100.0,80.76923077,31.81818182,77.27272727,2,1,3,1,2
37,2,,,,80.76923077,3.846153846,3.846153846,64.28571429,42.30769231,3,2,2,4,3
38,2,,,,64.28571429,42.30769231,37.5,64.28571429,31.81818182,3,3,1,4,1
40,2,,,,42.30769231,31.81818182,100.0,55.88235294,31.81818182,3,1,4,4,2
41,2,,,,31.81818182,31.81818182,100.0,28.57142857,26.47058824,4,3,1,4,4
42,2,,,,58.33333333,64.28571429,28.57142857,77.27272727,42.30769231,3,4,1,4,3
43,2,,,,77.27272727,42.30769231,16.66666667,16.66666667,58.33333333,1,3,3,3,3
44,2,,,,,3.846153846,42.30769231,37.5,16.66666667,2,3,3,1,2
45,2,,,,37.5,64.28571429,,64.28571429,64.28571429,1,3,3,3,3
46,2,,,,28.57142857,42.30769231,64.28571429,42.30769231,31.81818182,3,2,2,3,1
47,2,,,,,28.57142857,55.88235294,64.28571429,28.57142857,2,3,4,3,3
48,2,,,,77.27272727,80.76923077,58.33333333,42.30769231,,4,3,2,2,4
49,2,,,,64.28571429,31.81818182,100.0,31.81818182,58.33333333,3,1,4,4,3
50,2,,,,55.88235294,28.57142857,28.57142857,64.28571429,26.47058824,4,3,3,3,4
51,2,,,,58.33333333,31.81818182,42.30769231,64.28571429,42.30769231,2,1,2,1,3
