submission_id,text1_ai,text2_ai,text3_ai,text4_ai,text5_ai
19,4,1,3,1,4
20,3,4,4,2,2
21,1,4,3,3,4
22,3,1,4,3,2
23,4,3,4,2,4
24,1,3,1,2,3
25,4,2,4,3,2
26,3,1,4,4,2
27,3,4,1,4,3
28,3,1,3,2,1
29,4,3,2,2,3
30,4,3,1,3,2
31,1,2,3,1,1
32,3,1,3,3,1
33,3,2,3,1,4
34,2,1,4,3,3
35,3,1,3,4,1
36,2,1,3,1,2
37,3,2,2,4,3
38,3,3,1,4,1
39,3,4,2,3,1
40,3,1,4,4,2
41,4,3,1,4,4
42,3,4,1,4,3
43,1,3,3,3,3
44,2,3,3,1,2
45,1,3,3,3,3
46,3,2,2,3,1
47,2,3,4,3,3
48,4,3,2,2,4
49,3,1,4,4,3
50,4,3,3,3,4
51,2,1,2,1,3
52,4,4,4,4,1
53,2,1,1,4,1
